COD_DISCIPLINA,NOME_DISCIPLINA,COD_TURMA,VAGAS_OFERECIDAS,DIA_SEMANA,HR_INICIO,HR_FIM,TIPO_AULA,COD_CURSO,NOME_UNIDADE,ITEM_TABELA,DIA_ITEM,DT_INICIO_PERIODO,DT_FIM_PERIODO,COD_OPERADOR,NOME_USUARIO,VERSAO_CURSO,CH_TEORICA,CH_PRATICA,CH_ESTAGIO

CI205,ADMINISTRACAO DA PRODUCAO P/ INFORMATICA,A,42,2ª feira,17:30:00,19:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,2,2,29/02/2016,02/07/2016,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,30,30,
CI205,ADMINISTRACAO DA PRODUCAO P/ INFORMATICA,A,42,4ª feira,17:30:00,19:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,30,30,
CI204,ADMINISTRACAO DE INFORMATICA,A,40,3ª feira,17:30:00,19:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,3,3,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CI204,ADMINISTRACAO DE INFORMATICA,A,40,5ª feira,17:30:00,19:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,5,5,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CM005,Álgebra Linear,F,81,2ª feira,17:30:00,19:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,2,2,29/02/2016,02/07/2016,266682,MICHELLE BARBOSA GOMES,2011 - Ciência da Computação,60,,
CM005,Álgebra Linear,F,81,4ª feira,17:30:00,19:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,266682,MICHELLE BARBOSA GOMES,2011 - Ciência da Computação,60,,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,A,30,4ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,A,30,6ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,B,30,4ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,221224,VANESSA LUCAS GONÇALVES,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,B,30,6ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,221224,VANESSA LUCAS GONÇALVES,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,C,30,4ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,C,30,6ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,D,30,4ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,30,30,
CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,D,30,6ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,30,30,
CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,A,60,4ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,A,60,6ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,A,41,4ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,A,41,6ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,72,LETICIA LEONI,2011 - Ciência da Computação,30,30,
CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,B,40,4ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,B,40,6ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI065,ALGORITMOS E TEORIA DOS GRAFOS,A,57,4ª feira,15:30:00,17:30:00,Teórica,21A,Curso de Ciência da Computação - Bacharelado,4,4,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI065,ALGORITMOS E TEORIA DOS GRAFOS,A,57,6ª feira,15:30:00,17:30:00,Prática,21A,Curso de Ciência da Computação - Bacharelado,6,6,29/02/2016,02/07/2016,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
CI065,ALGORITMOS E TEORIA DOS GRAFOS,B,66,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,30,30,
